respondent_id,age_group,user_type,region,plan_type,tenure_months,overall_satisfaction,ease_of_use,pricing_satisfaction,support_satisfaction,likelihood_to_recommend,main_goal_achieved,biggest_frustration_text,improvement_request_text
R0001,50대+,실무자,서울,Pro,16,4,4,4,5,10,Y,가격이 비싸고 기능 대비 가치가 애매해요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0002,40대,실무자,경기,Free,12,4,5,1,3,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0003,40대,실무자,대전,Pro,8,4,4,4,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0004,20대,실무자,경기,Starter,17,3,3,2,3,7,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0005,40대,팀장,부산,Pro,24,4,4,4,2,9,Y,모바일에서 속도가 느려 업무 중 답답합니다,모바일 성능 최적화를 해주면 좋겠습니다
R0006,30대,운영자,서울,Pro,9,3,3,3,2,6,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,채팅 기반 빠른 지원 채널이 있으면 좋겠습니다
R0007,50대+,개발협업,대전,Starter,16,4,3,3,4,10,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0008,30대,개발협업,서울,Free,18,3,4,1,3,6,Y,고객지원 답변이 느려서 문제 해결이 지연돼요,요금제별 기능 차이를 더 명확히 보여주세요
R0009,40대,실무자,서울,Pro,13,4,3,4,4,8,Y,검색 정확도가 낮아 같은 작업을 반복합니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0010,30대,실무자,부산,Pro,5,4,4,3,3,8,Y,가끔 저장 오류가 나서 신뢰가 떨어집니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0011,40대,개발협업,서울,Pro,6,4,4,3,3,10,Y,온보딩이 복잡해서 첫 설정이 어렵습니다,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0012,50대+,실무자,광주,Free,1,4,5,3,2,8,Y,가격이 비싸고 기능 대비 가치가 애매해요,첫 화면 튜토리얼을 단계별로 단순화해 주세요
R0013,30대,운영자,대전,Pro,16,4,5,3,3,8,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
R0014,30대,실무자,서울,Enterprise,6,3,3,3,3,5,Y,리포트 필터가 불편해서 원하는 데이터 찾기 어려워요,오류 발생 시 복구 가이드를 즉시 제공해주세요
